received_at,device,ts,gas_ppm,type
2026-05-02T13:56:55.743849,esp32-factory-01,33677,1545.6,
2026-05-02T13:57:00.686595,esp32-factory-01,38704,1534.4,
2026-05-02T13:57:05.754726,esp32-factory-01,43732,1538.4,
2026-05-02T13:57:10.740220,esp32-factory-01,48761,1524.7,
2026-05-02T13:57:15.820783,esp32-factory-01,53788,1515.8,
2026-05-02T13:57:20.843294,esp32-factory-01,58816,1516.6,
2026-05-02T13:57:25.832341,esp32-factory-01,63844,1511.8,
2026-05-02T13:57:31.001077,esp32-factory-01,68873,1510.2,
2026-05-02T13:57:35.935482,esp32-factory-01,73900,1518.2,
2026-05-02T13:57:40.922556,esp32-factory-01,78928,1495.7,
2026-05-02T13:57:45.947317,esp32-factory-01,83956,1502.9,
2026-05-02T13:57:50.969831,esp32-factory-01,88985,1472.3,
2026-05-02T13:57:56.007937,esp32-factory-01,94012,1477.9,
2026-05-02T13:58:01.027799,esp32-factory-01,99040,1482.8,
2026-05-02T13:58:06.056727,esp32-factory-01,104068,1482.8,
2026-05-02T13:58:11.220848,esp32-factory-01,109097,1471.5,
2026-05-02T13:58:16.122507,esp32-factory-01,114124,1473.9,
2026-05-02T13:58:21.132044,esp32-factory-01,119152,1455.4,
2026-05-02T13:58:26.207550,esp32-factory-01,124180,1457,
2026-05-02T13:58:31.193642,esp32-factory-01,129208,1475.5,
2026-05-02T13:58:36.399248,esp32-factory-01,134235,1457,
2026-05-02T13:58:41.314812,esp32-factory-01,139263,1465.9,
2026-05-02T13:58:46.334890,esp32-factory-01,144291,1462.6,
2026-05-02T13:58:51.361728,esp32-factory-01,149320,1482.8,
2026-05-02T13:58:56.399564,esp32-factory-01,154347,1432,
2026-05-02T13:59:01.385448,esp32-factory-01,159375,1431.2,
2026-05-02T13:59:06.533647,esp32-factory-01,164403,1419.1,
2026-05-02T13:59:13.680974,esp32-factory-01,169432,1420.7,
2026-05-02T13:59:16.747758,esp32-factory-01,174459,1413.5,
2026-05-02T13:59:21.667578,esp32-factory-01,179487,1415.9,
2026-05-02T13:59:26.575849,esp32-factory-01,184515,1409.5,
2026-05-02T13:59:32.124733,esp32-factory-01,189544,1391.7,
2026-05-02T13:59:36.749198,esp32-factory-01,194571,1399.8,
2026-05-02T13:59:41.835846,esp32-factory-01,199599,1396.6,
2026-05-02T13:59:46.645223,esp32-factory-01,204627,1394.1,
2026-05-02T13:59:52.250914,esp32-factory-01,209656,1374,
2026-05-02T13:59:56.680713,esp32-factory-01,214683,1388.5,
2026-05-02T14:00:01.959444,esp32-factory-01,219711,1390.1,
2026-05-02T14:00:07.100606,esp32-factory-01,224739,1385.3,
2026-05-02T14:00:12.147235,esp32-factory-01,229768,1385.3,
2026-05-02T14:00:16.777003,esp32-factory-01,234795,1374.8,
2026-05-02T14:00:21.872658,esp32-factory-01,239823,1388.5,
2026-05-02T14:00:26.994529,esp32-factory-01,244851,1378,
2026-05-02T14:00:32.220767,esp32-factory-01,249880,1403.8,
2026-05-02T14:00:37.364298,esp32-factory-01,254907,1369.2,
