received_at,device,ts,current_a,voltage_v,power_w
2026-05-02T13:56:55.755192,esp32-factory-01,33678,1149.368,16.5,18964.57
2026-05-02T13:57:00.772546,esp32-factory-01,38705,1239.754,16.5,20455.94
2026-05-02T13:57:05.915795,esp32-factory-01,43733,1245.286,16.5,20547.22
2026-05-02T13:57:11.030548,esp32-factory-01,48763,1126.717,16.5,18590.83
2026-05-02T13:57:15.933052,esp32-factory-01,53790,1238.97,16.5,20443.0
2026-05-02T13:57:21.071200,esp32-factory-01,58817,1227.122,16.5,20247.51
2026-05-02T13:57:26.039420,esp32-factory-01,63845,1244.72,16.5,20537.88
2026-05-02T13:57:31.001910,esp32-factory-01,68874,1123.188,16.5,18532.6
2026-05-02T13:57:36.221168,esp32-factory-01,73902,1241.452,16.5,20483.96
2026-05-02T13:57:40.979151,esp32-factory-01,78929,1239.493,16.5,20451.64
2026-05-02T13:57:46.022877,esp32-factory-01,83957,1240.888,16.5,20474.65
2026-05-02T13:57:50.971913,esp32-factory-01,88986,1126.411,16.5,18585.78
2026-05-02T13:57:56.300647,esp32-factory-01,94014,1225.032,16.5,20213.03
2026-05-02T13:58:01.183189,esp32-factory-01,99041,1243.414,16.5,20516.33
2026-05-02T13:58:06.314074,esp32-factory-01,104069,1235.006,16.5,20377.6
2026-05-02T13:58:11.221520,esp32-factory-01,109098,1134.078,16.5,18712.29
2026-05-02T13:58:16.345661,esp32-factory-01,114126,1230.999,16.5,20311.49
2026-05-02T13:58:21.254914,esp32-factory-01,119153,1231.304,16.5,20316.52
2026-05-02T13:58:26.499112,esp32-factory-01,124181,1216.755,16.5,20076.46
2026-05-02T13:58:31.194561,esp32-factory-01,129209,1096.355,16.5,18089.86
2026-05-02T13:58:36.710470,esp32-factory-01,134237,1136.996,16.5,18760.43
2026-05-02T13:58:41.728156,esp32-factory-01,139264,1217.234,16.5,20084.36
2026-05-02T13:58:46.476181,esp32-factory-01,144292,1192.318,16.5,19673.25
2026-05-02T13:58:51.362677,esp32-factory-01,149321,1124.495,16.5,18554.17
2026-05-02T13:58:56.778546,esp32-factory-01,154349,1130.723,16.5,18656.93
2026-05-02T13:59:01.693792,esp32-factory-01,159376,1233.569,16.5,20353.89
2026-05-02T13:59:06.815089,esp32-factory-01,164404,1229.822,16.5,20292.06
2026-05-02T13:59:13.682069,esp32-factory-01,169433,1146.928,16.5,18924.31
2026-05-02T13:59:17.060951,esp32-factory-01,174461,1232.785,16.5,20340.95
2026-05-02T13:59:22.278272,esp32-factory-01,179488,1220.066,16.5,20131.09
2026-05-02T13:59:26.892457,esp32-factory-01,184516,1240.017,16.5,20460.28
2026-05-02T13:59:32.126556,esp32-factory-01,189545,1146.318,16.5,18914.25
2026-05-02T13:59:36.870913,esp32-factory-01,194573,1222.417,16.5,20169.88
2026-05-02T13:59:41.942506,esp32-factory-01,199600,1244.11,16.5,20527.82
2026-05-02T13:59:46.956979,esp32-factory-01,204628,1241.583,16.5,20486.12
2026-05-02T13:59:52.252735,esp32-factory-01,209657,1129.286,16.5,18633.22
2026-05-02T13:59:56.820784,esp32-factory-01,214685,1242.281,16.5,20497.64
2026-05-02T14:00:02.556208,esp32-factory-01,219712,1225.467,16.5,20220.21
2026-05-02T14:00:07.462500,esp32-factory-01,224741,1236.357,16.5,20399.89
2026-05-02T14:00:12.148555,esp32-factory-01,229769,1135.472,16.5,18735.29
2026-05-02T14:00:16.840637,esp32-factory-01,234797,1126.717,16.5,18590.83
2026-05-02T14:00:22.180353,esp32-factory-01,239824,1246.289,16.5,20563.77
2026-05-02T14:00:27.323943,esp32-factory-01,244852,1240.494,16.5,20468.15
2026-05-02T14:00:32.221764,esp32-factory-01,249881,1133.12,16.5,18696.48
2026-05-02T14:00:37.570960,esp32-factory-01,254909,1232.262,16.5,20332.32
